Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Algeria,2000,300.0,5.64,103.13,191.01,0.0,0.0,0.0,0.0
Argentina,2000,595.0,7.51,264.94,322.97,86.0,84.0,0.0,0.0
Australia,2000,1253.0,591.66,455.98,205.55,52.0,49.0,0.0,0.0
Austria,2000,262.0,42.47,141.75,78.21,129.0,124.0,0.0,0.0
Azerbaijan,2000,128.0,0.0,74.69,52.83,5.0,5.0,0.0,0.0
Bangladesh,2000,134.0,3.84,39.49,90.58,2.0,2.0,0.0,0.0
Belarus,2000,255.0,11.57,91.47,151.94,0.0,0.0,0.0,0.0
Belgium,2000,603.0,88.68,359.54,155.26,3.0,1.0,0.0,0.0
Brazil,2000,1339.0,151.18,1091.09,97.05,1000.0,900.0,0.0,0.0
Bulgaria,2000,158.0,73.19,50.76,34.07,8.0,8.0,0.0,0.0
Canada,2000,2357.0,355.19,1109.18,892.21,1086.0,1055.0,0.0,1.0
Chile,2000,247.0,37.36,139.08,70.14,61.0,56.0,0.0,0.0
China,2000,11085.0,8211.41,2626.9,246.96,668.0,658.0,0.0,2.0
Colombia,2000,221.0,31.44,132.68,57.36,93.0,91.0,0.0,0.0
Croatia,2000,77.0,5.02,46.75,25.7,19.0,19.0,0.0,0.0
Cyprus,2000,1570.7,0.42,29.84,411.3,184.7,123.4,0.0,0.0
Czechia,2000,428.0,246.72,94.43,87.23,8.0,5.0,0.0,0.0
Denmark,2000,220.0,46.18,122.53,51.02,17.0,0.0,0.0,13.0
Ecuador,2000,82.0,0.02,78.34,3.27,23.0,23.0,0.0,0.0
Egypt,2000,526.0,10.11,323.76,192.5,42.0,42.0,0.0,0.0
Estonia,2000,55.0,34.27,13.33,7.7,0.0,0.0,0.0,0.0
Finland,2000,224.0,58.33,126.43,39.41,71.0,43.0,0.0,0.0
France,2000,1720.0,164.76,1138.98,415.96,210.0,196.0,0.0,0.0
