,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
0,Algeria,2000,"9,741 kWh","6,207 kWh",183 kWh,"3,351 kWh",0 kWh,0 kWh,"9,741 kWh",5 kWh,5 kWh
1,Argentina,2000,"16,062 kWh","8,712 kWh",203 kWh,"7,147 kWh",0 kWh,3 kWh,"16,062 kWh","2,315 kWh","2,279 kWh"
2,Australia,2000,"65,895 kWh","10,808 kWh","31,111 kWh","23,976 kWh",7 kWh,21 kWh,"65,895 kWh","2,738 kWh","2,560 kWh"
3,Austria,2000,"32,760 kWh","9,763 kWh","5,302 kWh","17,696 kWh",1 kWh,25 kWh,"32,760 kWh","16,103 kWh","15,443 kWh"
4,Azerbaijan,2000,"15,569 kWh","6,450 kWh",0 kWh,"9,119 kWh",0 kWh,0 kWh,"15,569 kWh",554 kWh,554 kWh
5,Bangladesh,2000,"1,036 kWh",701 kWh,30 kWh,306 kWh,0 kWh,0 kWh,"1,036 kWh",17 kWh,17 kWh
6,Belarus,2000,"24,860 kWh","14,814 kWh","1,128 kWh","8,919 kWh",0 kWh,0 kWh,"24,860 kWh",8 kWh,8 kWh
7,Belgium,2000,"58,794 kWh","15,126 kWh","8,640 kWh","35,028 kWh",0 kWh,5 kWh,"58,794 kWh",314 kWh,133 kWh
8,Brazil,2000,"7,615 kWh",552 kWh,860 kWh,"6,204 kWh",0 kWh,0 kWh,"7,615 kWh","5,688 kWh","5,118 kWh"
9,Bulgaria,2000,"19,514 kWh","4,207 kWh","9,039 kWh","6,268 kWh",0 kWh,0 kWh,"19,514 kWh",976 kWh,976 kWh
10,Canada,2000,"76,803 kWh","29,078 kWh","11,576 kWh","36,149 kWh",2 kWh,25 kWh,"76,803 kWh","35,387 kWh","34,381 kWh"
11,Chile,2000,"16,062 kWh","4,569 kWh","2,434 kWh","9,059 kWh",0 kWh,0 kWh,"16,062 kWh","3,961 kWh","3,675 kWh"
12,China,2000,"8,769 kWh",195 kWh,"6,496 kWh","2,078 kWh",0 kWh,1 kWh,"8,769 kWh",528 kWh,520 kWh
13,Colombia,2000,"5,648 kWh","1,463 kWh",802 kWh,"3,383 kWh",0 kWh,0 kWh,"5,648 kWh","2,364 kWh","2,324 kWh"
14,Croatia,2000,"17,031 kWh","5,649 kWh","1,104 kWh","10,278 kWh",0 kWh,0 kWh,"17,031 kWh","4,196 kWh","4,195 kWh"
15,Cyprus,2000,,,442 kWh,"31,471 kWh",0 kWh,0 kWh,,,
16,Czechia,2000,"41,855 kWh","8,523 kWh","24,106 kWh","9,226 kWh",0 kWh,0 kWh,"41,855 kWh",740 kWh,508 kWh
17,Denmark,2000,"41,144 kWh","9,553 kWh","8,647 kWh","22,944 kWh",1 kWh,"2,348 kWh","41,144 kWh","3,142 kWh",17 kWh
18,Ecuador,2000,"6,464 kWh",259 kWh,1 kWh,"6,204 kWh",0 kWh,0 kWh,"6,464 kWh","1,782 kWh","1,782 kWh"
19,Egypt,2000,"7,375 kWh","2,697 kWh",142 kWh,"4,536 kWh",0 kWh,3 kWh,"7,375 kWh",591 kWh,587 kWh
