Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Algeria,2000,300 TWh,191.01 TWh,5.64 TWh,103.13 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Argentina,2000,595 TWh,322.97 TWh,7.51 TWh,264.94 TWh,0 TWh,0 TWh,86 TWh,84 TWh
Australia,2000,"1,253 TWh",205.55 TWh,591.66 TWh,455.98 TWh,0 TWh,0 TWh,52 TWh,49 TWh
Austria,2000,262 TWh,78.21 TWh,42.47 TWh,141.75 TWh,0 TWh,0 TWh,129 TWh,124 TWh
Azerbaijan,2000,128 TWh,52.83 TWh,0.00 TWh,74.69 TWh,0 TWh,0 TWh,5 TWh,5 TWh
Bangladesh,2000,134 TWh,90.58 TWh,3.84 TWh,39.49 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2000,255 TWh,151.94 TWh,11.57 TWh,91.47 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2000,603 TWh,155.26 TWh,88.68 TWh,359.54 TWh,0 TWh,0 TWh,3 TWh,1 TWh
Brazil,2000,"1,339 TWh",97.05 TWh,151.18 TWh,"1,091.09 TWh",0 TWh,0 TWh,"1,000 TWh",900 TWh
Bulgaria,2000,158 TWh,34.07 TWh,73.19 TWh,50.76 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Canada,2000,"2,357 TWh",892.21 TWh,355.19 TWh,"1,109.18 TWh",0 TWh,1 TWh,"1,086 TWh","1,055 TWh"
Chile,2000,247 TWh,70.14 TWh,37.36 TWh,139.08 TWh,0 TWh,0 TWh,61 TWh,56 TWh
China,2000,"11,085 TWh",246.96 TWh,"8,211.41 TWh","2,626.90 TWh",0 TWh,2 TWh,668 TWh,658 TWh
Colombia,2000,221 TWh,57.36 TWh,31.44 TWh,132.68 TWh,0 TWh,0 TWh,93 TWh,91 TWh
Croatia,2000,77 TWh,25.70 TWh,5.02 TWh,46.75 TWh,0 TWh,0 TWh,19 TWh,19 TWh
Cyprus,2000,,,0.42 TWh,29.84 TWh,0 TWh,0 TWh,,
Czechia,2000,428 TWh,87.23 TWh,246.72 TWh,94.43 TWh,0 TWh,0 TWh,8 TWh,5 TWh
Denmark,2000,220 TWh,51.02 TWh,46.18 TWh,122.53 TWh,0 TWh,13 TWh,17 TWh,0 TWh
Ecuador,2000,82 TWh,3.27 TWh,0.02 TWh,78.34 TWh,0 TWh,0 TWh,23 TWh,23 TWh
Egypt,2000,526 TWh,192.50 TWh,10.11 TWh,323.76 TWh,0 TWh,0 TWh,42 TWh,42 TWh
Estonia,2000,55 TWh,7.70 TWh,34.27 TWh,13.33 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2000,224 TWh,39.41 TWh,58.33 TWh,126.43 TWh,0 TWh,0 TWh,71 TWh,43 TWh
France,2000,"1,720 TWh",415.96 TWh,164.76 TWh,"1,138.98 TWh",0 TWh,0 TWh,210 TWh,196 TWh
Germany,2000,"3,392 TWh",829.25 TWh,992.10 TWh,"1,570.43 TWh",0 TWh,28 TWh,115 TWh,74 TWh
Greece,2000,361 TWh,19.60 TWh,104.95 TWh,236.25 TWh,0 TWh,1 TWh,12 TWh,11 TWh
Hong Kong,2000,197 TWh,28.14 TWh,50.45 TWh,118.89 TWh,0 TWh,0 TWh,,
Hungary,2000,240 TWh,112.31 TWh,44.99 TWh,82.53 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Iceland,2000,,,1.10 TWh,9.60 TWh,0 TWh,0 TWh,23 TWh,19 TWh
India,2000,"3,446 TWh",253.63 TWh,"1,911.17 TWh","1,281.24 TWh",0 TWh,5 TWh,238 TWh,228 TWh
Indonesia,2000,"1,120 TWh",330.05 TWh,153.07 TWh,637.01 TWh,0 TWh,0 TWh,43 TWh,30 TWh
Iran,2000,"1,385 TWh",594.41 TWh,15.16 TWh,775.71 TWh,0 TWh,0 TWh,11 TWh,11 TWh
Iraq,2000,,29.93 TWh,,283.29 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Ireland,2000,170 TWh,40.04 TWh,30.42 TWh,99.36 TWh,0 TWh,1 TWh,4 TWh,3 TWh
Israel,2000,227 TWh,0.09 TWh,72.74 TWh,154.44 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2000,"1,949 TWh",678.78 TWh,145.58 TWh,"1,124.70 TWh",0 TWh,2 TWh,150 TWh,131 TWh
Japan,2000,"5,036 TWh",756.65 TWh,"1,110.60 TWh","3,168.36 TWh",1 TWh,0 TWh,301 TWh,250 TWh
Kazakhstan,2000,347 TWh,47.80 TWh,207.46 TWh,92.21 TWh,0 TWh,0 TWh,22 TWh,22 TWh
Kuwait,2000,212 TWh,91.20 TWh,0.00 TWh,120.74 TWh,0 TWh,0 TWh,,
Latvia,2000,29 TWh,12.73 TWh,1.53 TWh,15.14 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Lithuania,2000,53 TWh,24.01 TWh,1.07 TWh,28.06 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2000,37 TWh,7.81 TWh,1.28 TWh,27.61 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2000,589 TWh,287.54 TWh,28.89 TWh,272.32 TWh,0 TWh,0 TWh,23 TWh,21 TWh
Mexico,2000,"1,553 TWh",359.13 TWh,76.19 TWh,"1,117.64 TWh",0 TWh,0 TWh,117 TWh,98 TWh
Morocco,2000,115 TWh,0.44 TWh,31.23 TWh,83.48 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Netherlands,2000,986 TWh,409.92 TWh,90.28 TWh,486.18 TWh,0 TWh,2 TWh,9 TWh,0 TWh
New Zealand,2000,146 TWh,58.75 TWh,12.86 TWh,74.42 TWh,0 TWh,0 TWh,84 TWh,72 TWh
North Macedonia,2000,27 TWh,0.57 TWh,15.54 TWh,11.27 TWh,0 TWh,0 TWh,3 TWh,3 TWh
Norway,2000,160 TWh,42.37 TWh,11.55 TWh,106.32 TWh,0 TWh,0 TWh,420 TWh,419 TWh
Oman,2000,111 TWh,76.75 TWh,0.00 TWh,34.17 TWh,0 TWh,0 TWh,,
Pakistan,2000,426 TWh,179.53 TWh,23.59 TWh,223.08 TWh,0 TWh,0 TWh,55 TWh,52 TWh
Peru,2000,99 TWh,3.33 TWh,7.32 TWh,88.37 TWh,,0 TWh,48 TWh,48 TWh
Philippines,2000,252 TWh,0.10 TWh,53.78 TWh,197.62 TWh,0 TWh,0 TWh,56 TWh,23 TWh
Poland,2000,"1,011 TWh",115.83 TWh,654.11 TWh,240.63 TWh,0 TWh,0 TWh,7 TWh,6 TWh
Portugal,2000,255 TWh,23.09 TWh,43.17 TWh,188.71 TWh,0 TWh,0 TWh,38 TWh,33 TWh
Qatar,2000,,112.97 TWh,,21.23 TWh,0 TWh,0 TWh,,
Romania,2000,361 TWh,159.10 TWh,85.54 TWh,116.52 TWh,0 TWh,0 TWh,44 TWh,44 TWh
